date,week,n_weeks,firm,sample,type_rv,type_lv,type_a,dem,n_dem,var_poll
2018-06-11,28,49,YouGov,1039,TRUE,FALSE,FALSE,0.5375,559,0.003871633569240839
2018-06-11,28,49,Ipsos,1669,TRUE,FALSE,FALSE,0.5488721804511278,916,0.004839526033416231
2018-06-12,29,49,Ipsos,1670,TRUE,FALSE,FALSE,0.5346784363177806,893,0.004813574262733928
2018-06-12,29,49,RsmRprts/POR,2150,FALSE,TRUE,FALSE,0.5232558139534884,1125,0.0018644986449864501
2018-06-12,29,49,MnmthUnvrsty,633,TRUE,FALSE,FALSE,0.5393258426966292,341,0.006358449247999588
2018-06-13,29,49,Ipsos,1720,TRUE,FALSE,FALSE,0.5390428211586901,927,0.004679696620953154
2018-06-14,29,49,Gallup,1225,TRUE,FALSE,FALSE,0.5274725274725275,646,0.0032751937984496124
2018-06-14,29,49,Ipsos,1691,TRUE,FALSE,FALSE,0.5407779171894604,915,0.004762606225251454
2018-06-15,29,49,Ipsos,1124,TRUE,FALSE,FALSE,0.537966537966538,605,0.007158713662884109
2018-06-16,29,49,QnnpcUnvrsty,833,TRUE,FALSE,FALSE,0.532608695652174,443,0.004822432057778022
2018-06-16,29,49,Ipsos,1266,TRUE,FALSE,FALSE,0.548469387755102,694,0.00637906015717253
2018-06-15,29,49,SfflkUnvrsty,841,TRUE,FALSE,FALSE,0.5362663495838288,451,0.004781397464324293
2018-06-16,29,49,MorningCnslt,1575,TRUE,FALSE,FALSE,0.5316455696202531,837,0.0025498968356111214
2018-06-16,29,49,CNN/SSRS,829,TRUE,FALSE,FALSE,0.5434782608695652,450,0.004861853064506865
2018-06-17,29,49,Ipsos,1250,TRUE,FALSE,FALSE,0.5391527599486521,674,0.006439485342883671
2018-06-17,29,49,McLghln&Assc,880,FALSE,TRUE,FALSE,0.5,440,0.004545454545454545
2018-06-18,29,49,Ipsos,1236,TRUE,FALSE,FALSE,0.5440613026819923,672,0.006523148025790379
2018-06-18,29,49,YouGov,1026,TRUE,FALSE,FALSE,0.5432098765432098,557,0.003927971033234191
2018-06-19,30,49,Ipsos,1221,TRUE,FALSE,FALSE,0.5516795865633075,674,0.006622758264464694
2018-06-19,30,49,RsmRprts/POR,2150,FALSE,TRUE,FALSE,0.5232558139534884,1125,0.0018644986449864501
2018-06-19,30,49,YouGov,696,FALSE,FALSE,TRUE,0.4857142857142857,338,0.005751821801517542
2018-06-20,30,49,Ipsos,1211,TRUE,FALSE,FALSE,0.5427841634738186,657,0.006654836959810566
2018-06-21,30,49,Ipsos,944,TRUE,FALSE,FALSE,0.5295629820051414,500,0.008504306302272023
